"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"21","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Not at all","Very much","Not very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Somewhat / fairly","Very much","Very much","Very much",3,2,4,2,3,1,4,2,4,3,2,3,2,3,4,3,3,3,1,3,4,4,4,"F","55-70 yo","White","Bachelor","Born in this country","> 30k","Democrat","Strong","No religion","Northeast",55,16,220907.52221336,12.3054994414014,0.99,59
"22","Very much","Not at all","Very much","Very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,1,4,4,3,1,4,3,4,3,4,3,1,3,3,4,3,4,4,3,3,4,4,"M",">70 yo","White","Bachelor","Born in this country","> 30k","Independent","Strong","Jewish","Northeast",74,16,70101.18,11.1576949059766,0.99,60
"23","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,4,2,2,4,3,3,3,4,3,4,4,4,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Catholic","Northeast",40,16,70101.18,11.1576949059766,0.99,62
"24","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,"M","55-70 yo","Other race","Advanced degree","Not born in this country","> 30k","Republican","Strong","Other religion","Northeast",55,20,220907.52221336,12.3054994414014,1.49,65
"25","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,3,4,3,2,3,3,3,3,3,3,3,3,4,4,4,4,"F","55-70 yo","White","Advanced degree","Born in this country","20-30k","Republican","Not strong","Evangelical Protestant","Northeast",59,18,46734.12,10.7522297978684,0.5,70
"26","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much",3,4,4,3,4,3,4,3,4,3,3,3,3,2,3,3,3,4,4,4,4,3,4,"F","25-40 yo","Black","Bachelor","Born in this country","> 30k","Strong Democrat","Not strong","Catholic","Northeast",38,16,70101.18,11.1576949059766,1.98,71
"27","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Not very much","Very much",3,4,4,4,4,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3,2,2,4,"F","25-40 yo","Black","Advanced degree","Born in this country","20-30k","Strong Democrat","Strong","Mainline Protestant","Northeast",33,17,46734.12,10.7522297978684,0.5,72
"28","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not at all","Not at all","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly",2,3,4,3,4,4,3,3,3,4,2,3,1,1,1,3,3,3,3,3,1,2,3,"F","40-55 yo","Black","Bachelor","Born in this country","10-20k","Democrat","Not strong","Other religion","Northeast",41,16,24665.23,10.1131498385787,0.5,75
"29","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,3,4,4,2,2,4,4,4,4,3,4,4,4,"F","55-70 yo","Hispanic","< High school","Not born in this country","< 10k","Strong Democrat","Not strong","Catholic","Northeast",57,10,14279.87,9.56660613221068,0.5,79
"30","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,3,3,3,4,4,4,4,4,"F","55-70 yo","White","Advanced degree","Born in this country","10-20k","Independent","Strong","Catholic","Northeast",66,18,33752.42,10.4268073974338,0.5,80
