"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"553","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not at all","Very much","Very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much",4,3,4,3,4,1,4,4,4,1,4,4,3,4,4,4,4,4,3,4,4,4,4,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","Black Protestant","Midwest",63,15,57119.48,10.9529004933306,0.49,1430
"554","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,2,3,2,3,1,3,2,4,2,3,3,2,3,4,4,4,4,3,3,4,4,4,"M","40-55 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Not strong","Evangelical Protestant","Midwest",50,20,220907.52221336,12.3054994414014,1.97,1431
"555","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,3,4,4,4,3,4,3,4,3,3,4,2,2,3,3,4,4,4,3,3,4,4,"F","25-40 yo","White","High school or some college","Not born in this country","10-20k","Democrat","Not strong","Other religion","Midwest",35,12,28559.74,10.2597533127706,1.97,1432
"556","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,1,4,3,3,3,4,4,4,4,4,4,4,4,"M",">70 yo","White","High school or some college","Born in this country","10-20k","Strong Republican","Strong","Black Protestant","Midwest",70,12,33752.42,10.4268073974338,0.99,1434
"557","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,2,4,4,4,2,3,3,3,3,4,3,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","No religion","Midwest",43,12,103853.6,11.5507374940862,0.99,1437
"558","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,2,3,2,3,4,4,3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,"M","25-40 yo","White","Bachelor","Born in this country","20-30k","Republican","Not strong","Evangelical Protestant","Midwest",30,16,38945.1,10.5699082410745,0.99,1438
"559","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,"F","55-70 yo","White","< High school","Born in this country","< 10k","Strong Democrat","Strong","No religion","Midwest",65,11,6750.484,8.81736948499969,0.49,1439
"560","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much",3,1,4,3,4,3,4,4,4,3,3,4,4,2,2,1,2,3,4,4,4,3,4,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","Midwest",52,12,220907.52221336,12.3054994414014,0.99,1441
"561","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",4,4,4,4,4,4,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,4,"F",">70 yo","White","< High school","Born in this country","< 10k","Strong Republican","Not strong","Evangelical Protestant","Midwest",81,11,16876.21,9.73366021687385,0.49,1443
"562","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,3,4,3,4,2,3,4,4,4,3,4,2,2,3,3,3,3,3,3,4,4,3,"F","25-40 yo","White","< High school","Born in this country","< 10k","Independent","Strong","No religion","Midwest",28,11,6750.484,8.81736948499969,0.49,1445
"563","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Not very much","Very much","Very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,1,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,"F","40-55 yo","White","High school or some college","Born in this country","< 10k","Democrat","Strong","No religion","Midwest",41,13,519.268,6.25242012753816,0.99,1446
"564","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","10-20k","Republican","Strong","Evangelical Protestant","Midwest",28,12,33752.42,10.4268073974338,0.99,1448
"565","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,2,4,4,4,3,4,4,4,1,3,4,4,2,4,4,4,4,4,4,4,4,4,"M","< 25 yo","White","Bachelor","Born in this country","< 10k","Republican","Strong","Black Protestant","South",23,16,4673.412,8.44964470487437,0.4,1451
"566","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Very much","Not at all","Very much","Very much","Very much","Very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",3,1,3,3,4,1,4,4,4,4,2,2,2,3,3,3,4,3,4,3,3,3,4,"F","< 25 yo","White","Bachelor","Born in this country","< 10k","Strong Democrat","Not strong","Black Protestant","South",24,16,5711.948,8.65031540033653,0.4,1452
"567","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,2,3,4,2,4,4,3,4,4,4,4,4,4,4,"F",">70 yo","White","High school or some college","Born in this country","20-30k","Strong Republican","Strong","Black Protestant","South",72,15,38945.1,10.5699082410745,0.4,1453
"568","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly",3,4,4,4,4,3,3,3,4,2,3,3,2,2,3,3,3,3,3,2,4,4,3,"M","55-70 yo","White","< High school","Born in this country","< 10k","Republican","Strong","Mainline Protestant","South",61,11,16876.21,9.73366021687385,0.81,1457
"569","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",3,3,2,3,4,4,4,3,4,2,4,4,4,2,3,3,3,4,4,3,4,4,4,"F","< 25 yo","White","High school or some college","Born in this country","< 10k","Republican","Not strong","Mainline Protestant","South",21,15,519.268,6.25242012753816,0.4,1458
"570","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Not very much","Not at all","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,2,3,3,4,2,4,4,2,3,4,2,2,1,4,3,4,4,4,4,4,4,4,"M","40-55 yo","Other race","Bachelor","Not born in this country","> 30k","Democrat","Not strong","Other religion","South",49,16,220907.52221336,12.3054994414014,1.21,1463
"571","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,4,3,1,3,4,4,4,3,3,4,4,4,"F","25-40 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Not strong","Mainline Protestant","South",38,18,103853.6,11.5507374940862,0.81,1464
"572","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",2,4,4,4,4,4,4,4,4,2,4,4,1,4,3,3,3,4,4,4,4,4,4,"F","< 25 yo","Black","< High school","Born in this country","> 30k","Democrat","Not strong","Mainline Protestant","South",19,9,220907.52221336,12.3054994414014,2.02,1465
"573","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,4,4,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Republican","Strong","Mainline Protestant","South",32,17,103853.6,11.5507374940862,0.81,1466
"574","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not at all","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,3,3,3,4,4,4,4,4,"F","40-55 yo","Black","Advanced degree","Born in this country","20-30k","Independent","Not strong","Mainline Protestant","South",54,17,46734.12,10.7522297978684,0.81,1468
"575","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,3,4,4,3,4,4,2,3,3,3,3,3,3,3,4,4,3,"F","25-40 yo","White","High school or some college","Born in this country","10-20k","Independent","Strong","Evangelical Protestant","South",25,12,28559.74,10.2597533127706,0.81,1470
"576","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",4,4,4,4,4,4,4,3,4,3,4,3,2,2,3,4,4,3,3,3,3,4,3,"F","< 25 yo","White","Bachelor","Born in this country","20-30k","Democrat","Not strong","Black Protestant","South",23,16,38945.1,10.5699082410745,0.4,1475
"577","Very much","Very much","Very much","Very much","Very much","Not very much","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Not at all","Not very much","Not at all","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",4,4,4,4,4,2,1,4,3,3,4,3,2,1,2,1,1,2,3,3,3,3,3,"M","25-40 yo","White","< High school","Born in this country","> 30k","Independent","Strong","No religion","South",39,9,70101.18,11.1576949059766,0.4,1477
"578","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much",3,2,3,2,4,4,3,2,3,2,3,3,2,2,3,3,3,3,3,3,4,3,4,"F","< 25 yo","Black","High school or some college","Born in this country","< 10k","Democrat","Strong","Other religion","South",24,12,519.268,6.25242012753816,0.81,1479
"579","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,2,2,4,4,3,2,3,3,4,4,4,4,4,3,"M","40-55 yo","Black","High school or some college","Born in this country","10-20k","Strong Democrat","Strong","Mainline Protestant","South",46,14,28559.74,10.2597533127706,0.4,1480
"580","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Not very much",3,4,4,4,4,4,4,4,3,3,2,2,2,2,3,3,2,3,4,4,3,4,2,"F","25-40 yo","Black","High school or some college","Born in this country","10-20k","Democrat","Not strong","Evangelical Protestant","South",34,15,33752.42,10.4268073974338,0.81,1483
"581","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,3,3,3,2,3,3,3,3,4,3,4,4,4,"F","55-70 yo","White","High school or some college","Born in this country","10-20k","Republican","Strong","Evangelical Protestant","South",60,12,33752.42,10.4268073974338,1.09,1492
"582","Very much","Not at all","Very much","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much",4,1,4,2,4,3,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,2,"F","40-55 yo","White","High school or some college","Not born in this country","> 30k","Democrat","Strong","Catholic","South",43,14,57119.48,10.9529004933306,1.09,1493
"583","Very much","Not very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",4,2,3,4,4,2,4,4,4,3,3,4,2,3,3,4,3,4,4,4,3,4,4,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Strong","No religion","South",40,16,70101.18,11.1576949059766,1.09,1494
"584","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,3,3,3,3,3,4,3,"M",">70 yo","White","High school or some college","Born in this country","10-20k","Strong Democrat","Strong","Mainline Protestant","South",70,12,22068.89,10.0019242034685,0.54,1495
"585","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,2,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,"F",">70 yo","White","< High school","Born in this country","< 10k","Independent","Strong","No religion","South",79,11,11683.53,9.36593543674853,1.09,1496
"586","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,4,3,3,3,4,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,4,3,"M","40-55 yo","White","High school or some college","Born in this country","20-30k","Republican","Strong","Evangelical Protestant","South",48,13,46734.12,10.7522297978684,2.18,1500
"587","Very much","Not very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,2,4,3,4,2,4,4,3,4,2,4,2,3,3,3,4,3,4,4,4,4,4,"F","< 25 yo","White","High school or some college","Born in this country","10-20k","Republican","Strong","Evangelical Protestant","South",21,12,33752.42,10.4268073974338,1.09,1505
"588","Very much","Not very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,2,4,2,4,4,4,4,4,3,4,4,2,3,4,3,4,4,4,3,3,4,4,"M","55-70 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Not strong","Catholic","South",60,16,57119.48,10.9529004933306,0.54,1506
"589","Somewhat / fairly","Very much","Very much","Very much","Very much","Not at all","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",3,4,4,4,4,1,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,3,4,"F","< 25 yo","White","High school or some college","Born in this country","< 10k","Republican","Strong","No religion","South",21,12,16876.21,9.73366021687385,0.54,1507
"590","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,3,3,4,3,1,3,2,3,3,4,3,4,4,3,"F","55-70 yo","White","< High school","Born in this country","< 10k","Democrat","Strong","Catholic","South",68,11,11683.53,9.36593543674853,0.4,1509
"591","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",2,4,4,4,4,3,3,3,4,2,3,4,2,2,3,2,2,3,3,3,3,4,3,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Democrat","Strong","Catholic","South",39,12,70101.18,11.1576949059766,0.4,1510
"592","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,3,4,4,3,1,4,3,3,4,4,4,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Democrat","Not strong","Black Protestant","South",44,14,103853.6,11.5507374940862,0.8,1511
"593","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly",1,4,4,3,3,1,4,4,4,3,3,3,2,2,2,2,2,2,3,2,2,3,3,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Strong Democrat","Strong","No religion","South",55,13,103853.6,11.5507374940862,0.8,1517
"594","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,4,4,3,4,3,4,4,4,4,2,3,2,3,3,3,4,3,3,3,4,4,4,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Strong Democrat","Strong","Other religion","South",64,13,220907.52221336,12.3054994414014,1.59,1518
"595","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,1,2,4,2,3,3,4,4,4,4,4,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","20-30k","Strong Republican","Not strong","Other religion","South",32,12,46734.12,10.7522297978684,0.8,1523
"596","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",3,3,4,4,4,3,4,4,4,3,3,3,3,2,3,3,2,2,3,3,3,4,4,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Mainline Protestant","South",36,12,70101.18,11.1576949059766,0.8,1524
"597","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,"M",">70 yo","White","High school or some college","Born in this country","> 30k","Republican","Not strong","Catholic","South",80,15,57119.48,10.9529004933306,1.59,1525
"598","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,3,4,3,4,4,4,4,4,3,4,4,4,3,2,3,3,4,4,4,4,4,4,"M",">70 yo","White","High school or some college","Born in this country","20-30k","Republican","Strong","Black Protestant","South",87,14,46734.12,10.7522297978684,1.59,1526
"599","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Not very much","Very much",4,3,3,3,3,1,4,3,4,4,2,2,2,3,2,2,3,3,2,4,3,2,4,"F","55-70 yo","White","High school or some college","Born in this country","< 10k","Strong Democrat","Strong","No religion","South",57,14,5711.948,8.65031540033653,1.59,1529
"600","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,3,4,3,4,3,3,3,4,3,2,4,2,3,3,2,3,3,3,3,3,3,3,"F","< 25 yo","White","High school or some college","Born in this country","> 30k","Democrat","Not strong","Catholic","South",21,14,57119.48,10.9529004933306,0.8,1531
"601","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Not at all","Not at all","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,4,4,1,1,3,4,4,4,4,4,4,4,4,"F","25-40 yo","Hispanic","< High school","Born in this country","20-30k","Democrat","Strong","Catholic","South",38,9,38945.1,10.5699082410745,0.4,1537
"602","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much",3,4,4,4,4,4,4,4,4,3,2,3,3,2,2,2,2,3,4,4,3,4,4,"M","25-40 yo","Hispanic","High school or some college","Born in this country","10-20k","Independent","Strong","Other religion","South",25,14,24665.23,10.1131498385787,0.4,1539
"603","Very much","Not very much","Very much","Not very much","Very much","Not at all","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not at all","Not at all","Not at all","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Very much","Not very much",4,2,4,2,4,1,3,4,4,3,2,3,2,1,1,1,2,3,1,3,2,4,2,"F","25-40 yo","White","High school or some college","Born in this country","10-20k","Democrat","Strong","Catholic","South",30,13,33752.42,10.4268073974338,0.8,1540
