"","clseusa_f","clsetown_f","clsestat_f","clsenoam_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amancstr_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","amsports_f","lessprd_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","clsetown_n","clsestat_n","clsenoam_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amancstr_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","amsports_n","lessprd_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"21","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Can't choose","Can't choose","Can't choose","Can't choose","Not very much","Can't choose","Can't choose","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",1,1,1,-1,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,0,0,1,1,1,1,2,1,1,1,1,1,"F","25-40 yo","White","High school or some college","Born in this country","10-20k","Democrat","Strong","No religion","Northeast",26,13,33752.42,10.4268073974338,0.5,49
"22","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Not at all","Very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much",1,1,1,1,-1,2,-1,2,-2,2,1,-1,2,1,-1,1,-1,1,1,1,1,-1,1,2,1,-1,2,1,2,"M","25-40 yo","Other race","Advanced degree","Not born in this country","> 30k","Democrat","Strong","No religion","Northeast",30,17,220907.52221336,12.3054994414014,0.99,52
"23","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Can't choose","Not very much","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much",1,1,1,-1,2,2,2,2,-1,-1,-1,-2,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,1,1,2,-1,1,2,"F","25-40 yo","Black","High school or some college","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",37,12,70101.18,11.1576949059766,0.5,53
"24","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Not at all","Very much","Not very much","Not at all","Not very much","Somewhat / fairly","Not very much","Can't choose","Not very much","Can't choose","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Very much","Not very much","Somewhat / fairly","Very much",-1,-1,-2,-1,1,-1,1,2,-2,2,-1,-2,-1,1,-1,0,-1,0,2,2,1,1,1,1,0,2,-1,1,2,"M","40-55 yo","White","Bachelor","Born in this country","10-20k","Democrat","Strong","No religion","Northeast",47,16,19472.55,9.87676106051452,0.5,57
"25","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Not at all","Very much","Not very much","Not at all","Very much","Somewhat / fairly","Not very much","Can't choose","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Somewhat / fairly","Very much","Very much","Very much",1,-1,-2,1,-1,2,-1,1,-2,2,-1,-2,2,1,-1,0,-1,-2,1,1,2,1,1,1,-2,1,2,2,2,"F","55-70 yo","White","Bachelor","Born in this country","> 30k","Democrat","Strong","No religion","Northeast",55,16,220907.52221336,12.3054994414014,0.99,59
"26","Very much","Somewhat / fairly","Somewhat / fairly","Can't choose","Not at all","Can't choose","Very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Not at all","Very much","Can't choose","Very much","Somewhat / fairly","Not at all","Can't choose","Can't choose","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Very much","Very much",2,1,1,0,-2,0,2,1,-2,2,1,-2,2,0,2,1,-2,0,0,1,1,2,1,2,0,1,1,2,2,"M",">70 yo","White","Bachelor","Born in this country","> 30k","Independent","Strong","Jewish","Northeast",74,16,70101.18,11.1576949059766,0.99,60
"27","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Can't choose","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",2,2,1,2,2,2,2,2,2,2,2,-1,2,0,1,2,-1,1,-1,-1,2,1,1,1,2,1,2,2,2,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Catholic","Northeast",40,16,70101.18,11.1576949059766,0.99,62
"28","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",2,1,1,1,2,2,2,2,-2,2,2,2,2,1,1,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,"M","55-70 yo","Other race","Advanced degree","Not born in this country","> 30k","Republican","Strong","Other religion","Northeast",55,20,220907.52221336,12.3054994414014,1.49,65
"29","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Can't choose","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much",1,-1,-1,1,2,2,2,2,2,2,1,1,2,1,-1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,"F","55-70 yo","White","Advanced degree","Born in this country","20-30k","Republican","Not strong","Evangelical Protestant","Northeast",59,18,46734.12,10.7522297978684,0.5,70
"30","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much",1,-1,-1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,-1,1,1,1,2,2,2,2,1,2,"F","25-40 yo","Black","Bachelor","Born in this country","> 30k","Democrat","Not strong","Catholic","Northeast",38,16,70101.18,11.1576949059766,1.98,71
